event_id,user_id,event_type,timestamp,sku_id,price_usd,recipient_id,platform,user_type
evt_0018094,usr_0556,app_open,2026-01-01 09:57:00,,,,ios,b2b
evt_0009755,usr_0302,app_open,2026-02-18 08:57:00,,,,android,b2b
evt_0021240,usr_0649,app_open,2025-11-30 22:03:00,,,,ios,b2c
evt_0006725,usr_0209,product_view,2026-03-28 15:26:00,SKU029,82.0,,ios,b2c
evt_0008882,usr_0285,app_open,2026-03-29 07:03:00,,,,ios,b2c
evt_0014483,usr_0446,product_view,2026-03-25 23:33:00,SKU029,82.0,,web,b2c
evt_0022719,usr_0687,app_open,2026-03-12 10:48:00,,,,ios,b2c
evt_0021418,usr_0661,product_view,2025-12-17 00:30:00,SKU029,82.0,,web,b2c
evt_0000943,usr_0025,product_view,2026-01-20 16:22:00,SKU018,78.0,,android,b2b
evt_0018430,usr_0568,add_to_cart,2026-03-22 17:41:00,SKU026,48.0,,web,b2c
evt_0005864,usr_0179,product_view,2026-03-04 21:49:00,SKU027,58.0,,ios,b2c
evt_0005954,usr_0181,app_open,2026-03-18 08:43:00,,,,ios,b2b
evt_0008396,usr_0274,app_open,2026-03-03 05:20:00,,,,ios,b2b
evt_0007661,usr_0242,app_open,2026-01-12 00:19:00,,,,web,b2c
evt_0004564,usr_0134,product_view,2026-03-08 23:53:00,SKU022,72.0,,web,b2c
evt_0002561,usr_0078,app_open,2025-10-05 13:05:00,,,,ios,b2c
evt_0005887,usr_0179,product_view,2025-12-29 15:57:00,SKU004,55.0,,ios,b2c
evt_0025594,usr_0766,app_open,2025-12-20 03:22:00,,,,android,b2c
evt_0007125,usr_0231,app_open,2025-11-03 22:20:00,,,,ios,b2c
evt_0018686,usr_0575,purchase,,SKU006,49.0,,web,b2b
evt_0008157,usr_0266,purchase,2026-02-03 15:21:00,SKU001,65.0,,android,b2c
evt_0022090,usr_0674,app_open,2026-01-01 12:53:00,,,,ios,b2c
evt_0012401,usr_0392,app_open,2025-11-01 12:50:00,,,,ios,b2c
evt_0012705,usr_0408,app_open,2025-11-29 18:25:00,,,,web,b2c
evt_0013788,usr_0430,gift_send,2026-01-15 22:20:00,SKU008,55.0,rec_0055,ios,b2b
evt_0017927,usr_0550,product_view,2025-11-27 14:27:00,SKU022,72.0,,android,b2b
evt_0011743,usr_0360,app_open,2026-03-22 04:15:00,,,,ios,b2b
evt_0017182,usr_0522,purchase,2026-03-23 01:59:00,SKU010,95.0,,web,b2b
evt_0015273,usr_0467,product_view,2026-03-23 09:59:00,SKU019,55.0,,web,b2c
evt_0018136,usr_0556,app_open,2025-12-10 04:27:00,,,,ios,b2b
evt_0012078,usr_0376,product_view,2026-03-04 13:51:00,SKU007,85.0,,android,b2b
evt_0016864,usr_0512,app_open,2026-01-20 12:48:00,,,,web,b2c
evt_0001427,usr_0035,product_view,2026-01-02 21:51:00,SKU006,49.0,,android,b2c
evt_0022494,usr_0684,add_to_cart,2026-03-03 09:16:00,SKU007,85.0,,web,b2c
evt_0023772,usr_0713,app_open,2026-03-20 03:12:00,,,,ios,b2c
evt_0016276,usr_0497,product_view,2026-03-13 08:37:00,SKU006,49.0,,ios,b2c
evt_0009426,usr_0296,app_open,2025-12-14 12:06:00,,,,android,b2c
evt_0024101,usr_0716,purchase,2026-03-17 06:44:00,SKU025,89.0,,android,b2c
evt_0015731,usr_0484,purchase,2026-02-06 06:19:00,SKU014,40.0,,android,b2c
evt_0007747,usr_0247,product_view,2026-03-29 07:02:00,SKU005,42.0,,web,b2c
evt_0009737,usr_0302,add_to_cart,2025-10-12 10:06:00,SKU006,49.0,,android,b2b
evt_0025820,usr_0776,product_view,2026-03-02 11:59:00,SKU015,52.0,,ios,b2c
evt_0010069,usr_0314,product_view,2025-11-03 21:42:00,SKU006,49.0,,android,b2c
evt_0007753,usr_0248,add_to_cart,2026-02-15 03:04:00,SKU006,49.0,,web,b2b
evt_0022343,usr_0683,product_view,2026-03-28 19:32:00,SKU028,65.0,,android,b2c
evt_0016596,usr_0501,app_open,2025-11-26 05:54:00,,,,android,b2b
evt_0012528,usr_0398,app_open,2026-01-07 15:37:00,,,,android,b2b
evt_0019971,usr_0621,product_view,2025-11-13 02:33:00,SKU026,48.0,,ios,b2c
evt_0009070,usr_0289,app_open,2026-02-26 22:36:00,,,,android,b2c
evt_0007901,usr_0253,app_open,2026-03-20 16:15:00,,,,ios,b2b
evt_0007525,usr_0240,add_to_cart,2025-12-14 10:04:00,SKU024,36.0,,web,b2c
evt_0017062,usr_0521,product_view,2026-02-22 19:21:00,SKU027,58.0,,ios,b2c
evt_0021629,usr_0664,product_view,2026-01-09 01:07:00,SKU028,65.0,,ios,b2b
evt_0011782,usr_0362,product_view,2025-10-12 07:56:00,SKU001,65.0,,ios,b2c
evt_0016148,usr_0495,app_open,2026-03-04 22:25:00,,,,ios,b2c
evt_0000099,usr_0001,app_open,2026-02-17 14:02:00,,,,web,b2c
evt_0003222,usr_0097,product_view,2026-03-29 09:09:00,SKU012,48.0,,ios,b2b
evt_0010337,usr_0320,app_open,2026-03-30 01:03:00,,,,android,b2b
evt_0008295,usr_0270,add_to_cart,2026-03-07 06:51:00,SKU027,58.0,,android,b2c
evt_0010676,usr_0328,app_open,2026-01-06 07:44:00,,,,ios,b2c
evt_0013195,usr_0421,add_to_cart,2026-03-17 00:45:00,SKU018,78.0,,android,b2c
evt_0019518,usr_0604,app_open,2026-01-21 03:46:00,,,,ios,b2c
evt_0026094,usr_0787,app_open,2025-10-30 14:34:00,,,,ios,b2c
evt_0014970,usr_0463,app_open,2025-12-06 12:01:00,,,,android,b2c
evt_0009214,usr_0291,app_open,2026-03-23 05:26:00,,,,ios,b2c
evt_0019047,usr_0582,product_view,2025-12-27 02:45:00,SKU027,58.0,,ios,b2b
evt_0022983,usr_0695,product_view,2026-03-28 12:05:00,SKU020,38.0,,android,b2c
evt_0017581,usr_0533,app_open,2025-11-18 18:48:00,,,,android,b2b
evt_0015984,usr_0487,gift_send,2026-03-01 02:03:00,SKU014,40.0,rec_0287,ios,b2c
evt_0013066,usr_0418,app_open,2026-03-24 03:02:00,,,,android,b2c
evt_0003792,usr_0106,product_view,2025-10-05 22:37:00,SKU030,46.0,,ios,b2b
evt_0001603,usr_0043,add_to_cart,2026-03-22 14:33:00,SKU010,95.0,,web,b2b
evt_0003058,usr_0088,app_open,2026-03-03 04:36:00,,,,web,b2c
evt_0002752,usr_0082,app_open,2026-03-01 16:39:00,,,,ios,b2c
evt_0012441,usr_0392,product_view,2026-03-01 09:37:00,SKU030,46.0,,ios,b2c
evt_0020272,usr_0630,add_to_cart,2025-12-22 10:23:00,SKU021,44.0,,android,b2c
evt_0001662,usr_0046,app_open,2026-02-10 05:27:00,,,,ios,b2c
evt_0009362,usr_0293,app_open,2025-11-15 05:55:00,,,,ios,b2c
evt_0024667,usr_0736,purchase,,SKU006,49.0,,ios,b2c
evt_0010008,usr_0312,product_view,2026-02-21 17:58:00,SKU025,89.0,,ios,b2c
evt_0015844,usr_0484,app_open,2025-10-19 21:15:00,,,,android,b2c
evt_0015191,usr_0466,app_open,2026-02-18 14:39:00,,,,ios,b2c
evt_0012475,usr_0396,app_open,2026-03-08 22:35:00,,,,web,b2b
evt_0010347,usr_0321,app_open,2026-02-10 06:30:00,,,,android,b2b
evt_0021506,usr_0662,purchase,2026-03-17 18:50:00,SKU029,82.0,,android,b2c
evt_0010669,usr_0327,app_open,2026-01-21 12:09:00,,,,android,b2c
evt_0016089,usr_0495,purchase,2026-03-17 05:38:00,SKU021,44.0,,ios,b2c
evt_0026420,usr_0794,purchase,2026-03-06 02:22:00,SKU006,49.0,,ios,b2b
evt_0012400,usr_0392,purchase,2026-01-16 02:20:00,SKU030,46.0,,ios,b2c
evt_0021742,usr_0665,app_open,2025-11-28 07:47:00,,,,ios,b2c
evt_0002730,usr_0081,product_view,2025-12-14 00:39:00,SKU013,32.0,,android,b2c
evt_0016640,usr_0502,app_open,2026-02-09 03:31:00,,,,ios,b2c
evt_0009931,usr_0307,product_view,2026-02-18 00:41:00,SKU017,68.0,,ios,b2b
evt_0020126,usr_0623,product_view,2026-03-27 17:52:00,SKU001,65.0,,ios,b2c
evt_0004084,usr_0112,product_view,2025-12-04 20:53:00,SKU008,55.0,,web,b2c
evt_0007251,usr_0232,app_open,2026-02-28 12:36:00,,,,android,b2c
evt_0020401,usr_0633,app_open,2026-03-23 02:27:00,,,,android,b2c
evt_0014872,usr_0457,product_view,2026-01-06 14:24:00,SKU018,78.0,,ios,b2c
evt_0019243,usr_0589,product_view,2025-11-21 18:41:00,SKU021,44.0,,ios,b2c
evt_0024902,usr_0744,app_open,2026-02-28 18:49:00,,,,ios,b2b
evt_0008688,usr_0283,app_open,2025-12-02 01:30:00,,,,ios,b2b
evt_0004955,usr_0147,app_open,2026-03-22 15:49:00,,,,ios,b2b
evt_0003694,usr_0106,app_open,2025-10-17 02:10:00,,,,ios,b2b
evt_0001805,usr_0050,app_open,2026-03-14 14:53:00,,,,web,b2c
evt_0020428,usr_0633,app_open,2026-03-27 16:19:00,,,,android,b2c
evt_0013517,usr_0424,app_open,2025-10-19 20:32:00,,,,ios,b2c
evt_0007132,usr_0231,app_open,2026-01-12 00:34:00,,,,ios,b2c
evt_0023815,usr_0713,app_open,2026-03-12 23:40:00,,,,ios,b2c
